Table S2. List of all genes in all conditions logFC and log2 expression values  																																	
Gene locus	ctrl_0hr_1975_log2	ctrl_0hr_1976_log2	ctrl_0hr_1977_log2	ctrl_0hr_1978_log2	ctrl_1hr_1979_log2	ctrl_1hr_1980_log2	ctrl_1hr_1981_log2	treated_1hr_1982_log2	treated_1hr_1983_log2	treated_1hr_1984_log2	ctrl_2hr_1985_log2	ctrl_2hr_1986_log2	ctrl_2hr_1987_log2	treated_2hr_1988_log2	treated_2hr_1989_log2	treated_2hr_1990_log2	ctrl_4hr_1991_log2	ctrl_4hr_1992_log2	ctrl_4hr_1993_log2	treated_4hr_1994_log2	treated_4hr_1995_log2	treated_4hr_1996_log2	ctrl_6hr_1997_log2	treated_6hr_2000_log2	avg_ctrl_0hr_log2	avg_ctrl_1hr_log2	avg_treated_1hr_log2	avg_ctrl_2hr_log2	avg_treated_2hr_log2	avg_ctrl_4hr_log2	avg_treated_4hr_log2	avg_ctrl_6hr_log2	avg_treated_6hr_log2
SMc01469	11.1653055916571	9.98890791693691	10.0946520336124	10.5483292836165	10.8848120904445	11.6070757249155	11.8455126806597	12.2493510712029	11.6221568307291	11.886263062773	10.0898957151435	11.0179710436574	12.6306097169964	10.6458665715673	11.03911811737	11.0235116766868	12.5554656618259	11.9435124606834	11.8932985463462	9.74766151645247	9.60207939157362	9.44846311797294	12.9602198043866	8.97282952748152	10.4492987064557	11.4458001653399	11.919256988235	11.2461588252658	10.9028321218747	12.1307588896185	9.59940134199968	12.9602198043866	8.97282952748152
SMc01432	10.6164480319754	10.3701498054605	11.3498082404429	10.4235434373587	11.6899403777179	12.0079382531837	11.3223265064563	11.263522718764	11.8351490216417	12.2685982602132	10.8895064204922	12.5750950289096	12.1268457991199	11.5070108990502	11.3921190318448	10.7734470863015	12.1632931469216	11.9507086892756	11.8882578414812	9.49815368924362	9.49652456886475	9.4658430942428	12.1040967343664	9.46729544841314	10.6899873788094	11.6734017124526	11.7890900002063	11.8638157495072	11.2241923390655	12.0007532258928	9.48684045078372	12.1040967343664	9.46729544841314
SMc01356	13.6518350051292	14.5547051034592	13.4959249194344	14.4020720143798	13.6674934073335	12.347770980836	12.4912093903617	11.9892544524923	11.7569504181964	12.1027836603002	12.9932825031264	14.1482959629257	12.5326805732967	11.5191031728299	11.8865078874418	12.6518026030666	13.7665328748079	13.1765443501898	13.5527110448185	10.9969721470475	10.9043636434543	11.0565747101399	12.9563330502207	10.6132029459262	14.0261342606007	12.8354912595104	11.949662843663	13.2247530131163	12.0191378877794	13.4985960899387	10.9859701668806	12.9563330502207	10.6132029459262
SMc01468	12.3156192774557	12.1614430144319	12.0032680473986	13.1506891681715	13.152915791404	12.6999309784451	12.1760787876017	11.6501087858785	11.7964709739047	12.7275495955294	12.2911967239597	11.9146033909365	12.0099903383832	10.3262463744631	10.4342034749854	10.6532364027179	13.2543025132349	12.6734259678114	12.8141936110338	10.5089317468285	10.261505690993	10.4628157171515	13.6803111342617	10.393971192406	12.4077548768644	12.6763085191503	12.0580431184375	12.0719301510932	10.4712287507221	12.9139740306933	10.411084384991	13.6803111342617	10.393971192406
SMc00992	10.8149680382417	11.0010125613437	11.5876523471826	11.5637126816381	12.5437515239689	11.3968016194689	10.9068674043892	9.68227520374493	11.2248997583612	10.2943600917418	12.3298857535585	12.2858526713669	11.2165010914796	10.2339675026067	9.90274939927238	9.31722733303204	11.9113376920293	11.4698693795997	11.539016230758	9.29998334838073	9.21862878169114	9.06856087544766	11.9232280506926	9.22773001731186	11.2418364071015	11.6158068492756	10.400511684616	11.9440798388016	9.81798141163704	11.640074434129	9.19572433517318	11.9232280506926	9.22773001731186
SMc00999	12.7867279359921	12.5103945101136	13.4984363279971	11.8345597985939	13.0168341136226	13.5464021775177	13.0995162124357	12.525129187874	12.601505424292	12.097400917648	12.7264842934752	12.8339411769781	12.1470874688268	12.1392461865522	12.2933702773666	11.790079377091	13.04383083133	12.6409778466028	12.8902740772861	10.4337016236201	10.3483768404964	10.5117079175481	12.6900940482602	10.0309818629724	12.6575296431742	13.220917501192	12.4080118432713	12.56917097976	12.0742319470033	12.8583609184063	10.4312621272215	12.6900940482602	10.0309818629724
SMc00991	11.0250739724703	10.4010643542078	10.2544052480082	10.4231186876833	11.2798000292659	11.0183280877802	11.1380373103345	10.5639463979531	9.56317702746352	9.91431103202436	11.5711815188791	11.9871049488688	11.0975613469621	9.87550464443267	9.75910532489557	9.55176231369821	11.4714077260504	11.2566100098245	11.1494795059282	8.89633625993615	8.99504138010319	8.70907583282582	11.7359216187846	8.91164199081882	10.5259155655924	11.1453884757935	10.0138114858136	11.55194927157	9.72879076100882	11.292499080601	8.86681782428839	11.7359216187846	8.91164199081882
SMc03034	12.7536855207723	12.0406074440881	12.2070434642297	11.8536094023497	13.1630397416026	12.7890963567504	12.7390711467116	13.7539695331874	12.4864341846851	12.1741129873018	12.1409577358917	11.0146658314031	12.0433485018379	12.1460765815944	11.3602222062248	11.7523129308527	12.914772487734	12.4665789740666	12.6092690120124	10.1230064876889	9.73967824839814	10.8977802662164	13.3408851263713	9.30588915265909	12.2137364578599	12.8970690816882	12.8048389017248	11.7329906897109	11.7528705728906	12.6635401579377	10.2534883341011	13.3408851263713	9.30588915265909
SMc02489	12.043407929472	11.3964636051676	12.5529033949769	11.8218295650695	12.3876862004809	11.9924733465857	12.0797310928408	10.8488851080238	11.0051411655084	10.699327513381	12.483160663957	13.1721315094577	12.0460488523256	10.21991730947	10.5379649894374	9.89865538414471	12.1748816560828	12.2218374946543	11.8446945871274	9.71210663030055	9.86221827218626	9.4489887692435	12.1906918697963	9.65161596473992	11.9536511236715	12.1532968799692	10.8511179289711	12.5671136752467	10.2188458943507	12.0804712459548	9.67443789057677	12.1906918697963	9.65161596473992
SMc03035	12.1601267586625	11.0984008694918	11.0245415464127	11.0396625351292	13.1595835895847	12.6934790545153	13.3483357449402	13.8167216261006	12.8392294516435	12.7066381726434	10.9623628572681	11.8011744854908	12.2442853217855	12.0443838754784	11.3937564005072	12.0529240856879	12.6964722743075	12.5766647439319	12.5116549631691	10.212622229378	9.84305884475439	10.5294512236693	13.2972571333918	9.80399627451384	11.330682927424	13.0671327963467	13.1208630834625	11.6692742215148	11.8303547872245	12.5949306604695	10.1950440992672	13.2972571333918	9.80399627451384
