baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dda3937_03280	10078.6406463629	4.66822706586755	0.762534746274219	6.12198603234375	9.24161269130499e-10	2.15873199983365e-07
Dda3937_02836	474.459880457822	1.54743470375502	0.254103770779303	6.08977465784644	1.13069726099329e-09	2.49444379078019e-07
Dda3937_03625	6515.48508842087	-1.43007108754834	0.239996599500178	-5.95871395897538	2.54230637382638e-09	5.31342032129714e-07
Dda3937_01679	14126.9285891408	-1.81230805339853	0.310513251503279	-5.83649182321415	5.33113774403432e-09	1.05849739907801e-06
Dda3937_02203	4912.29567211471	-2.25660581306496	0.388255357349207	-5.81216915710274	6.16684778598492e-09	1.13170564862995e-06
Dda3937_02525	5586.69005221882	2.50738223238872	0.431608026034331	5.80939667741322	6.26983738853159e-09	1.13170564862995e-06
Dda3937_00785	591.646181887292	-2.35584092721605	0.407890433760416	-5.77567094549663	7.664703680365e-09	1.32266441408653e-06
Dda3937_01826	1529.86743750887	3.60523434670535	0.624977136377948	5.76858597995996	7.9939425681382e-09	1.32266441408653e-06
Dda3937_03561	1889.02741747449	1.48394056028771	0.258021372925757	5.75123116143833	8.85958771930111e-09	1.40725691333379e-06
Dda3937_02095	522.991491329796	-3.95570584145735	0.694421365938276	-5.69640572062835	1.22359503234466e-08	1.86880610516949e-06
Dda3937_01866	27402.4324770487	2.43664545500448	0.431166669532178	5.65128435750443	1.5925338620534e-08	2.3044819685843e-06
Dda3937_02533	2043.52719106076	-1.63404808051446	0.289323499407584	-5.64782357416638	1.62491803375373e-08	2.3044819685843e-06
Dda3937_02675	1782.71330011214	-1.46443023338956	0.262870203328486	-5.57092517465585	2.53390143407105e-08	3.38352038279551e-06
Dda3937_00881	7921.62449481281	1.48839768983176	0.267245582207534	5.56940053989713	2.55617253799711e-08	3.38352038279551e-06
Dda3937_00393	3609.33113760927	-1.98287314613684	0.363622554962439	-5.45310822740813	4.94969231513758e-08	6.3403961881972e-06
Dda3937_02835	1660.76044974983	1.79913957137881	0.33131228771213	5.43034363078633	5.62456437058281e-08	6.94254291881146e-06
Dda3937_00707	1129.18638940861	1.11082410853078	0.204729865153742	5.42580393777236	5.76942624831978e-08	6.94254291881146e-06
Dda3937_01077	5107.31935738404	1.76846798561397	0.326346336907903	5.41899137698318	5.99362080256781e-08	7.00019653146963e-06
Dda3937_03300	33069.4388721872	1.77694542701144	0.32841392493329	5.41068843951239	6.27829190497228e-08	7.12317061561283e-06
Dda3937_00625	2157.90923016185	2.0418628676218	0.38151282944877	5.35201626265619	8.69795795900604e-08	9.59433084867027e-06
Dda3937_01078	21479.5531399095	2.1295956624275	0.398773234104224	5.34036760820038	9.27582967412545e-08	9.95522152323031e-06
Dda3937_03771	530.504033729923	1.53628697193861	0.290879158898751	5.28152988943894	1.28109577054314e-07	1.33874508021758e-05
Dda3937_02971	2480.63165001068	2.05895552809853	0.392482456872444	5.24598104207161	1.55452887680513e-07	1.58282927430594e-05
Dda3937_02837	443.256865341271	1.48672863133823	0.283837356688573	5.23795968467066	1.62361516643113e-07	1.6118439564745e-05
Dda3937_02334	2877.12225920942	1.96628224180057	0.376401439102132	5.22389671647095	1.75196525228387e-07	1.68680685825923e-05
Dda3937_02232	80003.033617929	1.2343740873416	0.236445954404085	5.22053375982939	1.78408179417999e-07	1.68680685825923e-05
Dda3937_00791	3327.01171208061	3.50603160922273	0.680129425676104	5.15494768622523	2.53701746361242e-07	2.34290612744301e-05
Dda3937_00784	393.436364915282	-2.2486406055161	0.436596819911994	-5.15038246492351	2.59955799105458e-07	2.34610108692675e-05
Dda3937_02132	7156.86024363397	-2.93089448807844	0.572066383445868	-5.12334682283561	3.00159502833392e-07	2.64874085722533e-05
Dda3937_00693	4840.28475778646	1.89042742459889	0.369909675321994	5.11051089148543	3.21288787782314e-07	2.77356038322515e-05
Dda3937_02088	9306.06445275668	3.2065584375927	0.629638805267709	5.09269506702234	3.53009211460792e-07	2.98255229512937e-05
Dda3937_02673	1134.38286258157	1.8725155977002	0.372142939167598	5.03171066979964	4.86122528029913e-07	4.0216511641808e-05
Dda3937_02002	898.963975408629	1.51239321579108	0.301593180040565	5.01467976029052	5.31218677298129e-07	4.30503952561402e-05
Dda3937_02620	216.718136132799	2.00820070115789	0.405252770111454	4.95542744989895	7.21714488324764e-07	5.73185646627528e-05
